stimulus,1223_2636,1224_2642,1228_2674,1229_2683,1230_2680,1238_2578,1241_2583,1242_2582,1243_2580,1247_2590,1248_2587,1251_2589,1253_2592,1256_2601,1257_2600,1258_2598,1263_2603,1264_2602,1265_2605,1272_2607,1275_2613,1276_2612,1277_2616,1278_2617,1280_2620,1283_2634,1285_2635,1286_2632,1287_2633,1288_2640,1291_2643,1293_2639,1294_2646,1297_2676,1298_2645,1300_2649,1303_2653,1304_2655,1307_2659,1308_2658,1312_2663,1317_2661,1318_2662,1319_2665,1320_2666,1321_2672,1322_2673,1324_2682,1327_2687,1329_2685,1334_2692,1335_2691,1337_2698,1338_2697,1342_2703,1343_2704,1347_2710,1349_2712,1350_2716,1354_2719,1355_2718,1364_2747,1366_2753,1373_2764,1374_2754,1383_2744,1387_2758,1389_2768,1390_2767,1391_2773,200_2596,376_2701,390_2678,411_2614,418_2668,419_2715,425_2763,436_2714,454_2721,457_2604,471_2675,486_2679,500_2594,503_2618,505_2772,524_2599,551_2700,552_2722,582_2766,586_2667,587_2695,596_2591,603_2708,609_2689,617_2702,630_2706,643_2574,646_2595,651_2575,678_2684,700_2693,710_2709,724_2774,779_2621,864_2677,mean
2cce389771,26.3761,34.0955,38.3797,44.7627,29.8481,36.6970,55.9567,27.0006,39.5012,28.5774,32.3465,26.7875,35.8944,56.2139,55.8283,29.9314,25.7702,70.3099,32.8295,22.0085,39.5149,35.2630,18.4072,20.8893,48.7787,72.2595,28.4641,23.8298,213.6305,33.5942,36.1013,38.6949,30.6622,19.2945,21.3809,33.9347,21.4970,31.5491,23.9732,21.1945,39.5378,24.5429,19.5859,21.9504,22.3268,58.5314,44.3095,46.5800,54.4059,24.4233,19.1982,14.1789,62.2036,61.5971,,16.9177,35.4014,31.8755,24.2186,52.1442,32.3803,318.2511,49.3902,20.9762,29.9705,24.9122,63.7154,30.8896,50.0701,48.1209,37.3175,56.2276,104.0356,48.3249,40.7340,34.9589,26.2679,35.5445,23.4521,205.7353,52.8162,58.2745,35.9563,63.4035,39.6940,34.8667,389.2149,69.2543,48.1209,48.9087,46.5698,66.5296,26.9005,70.4801,53.0930,2107.8528,46.5790,24.2899,76.6965,24.0978,43.1504,35.2091,48.5226,59.3992,243.6973,70.4886
30ea149df9,48.3812,,,,,19.7484,,,41.4955,,,97.8366,20.9268,,,,27.6073,48.5798,27.6656,,23.9792,17.7591,18.2248,18.4637,37.9359,82.6403,22.4465,34.6875,97.2565,,35.0999,34.3854,24.7207,18.4155,17.3860,29.7321,,17.3205,33.4996,30.8957,31.9856,,12.0605,,18.7083,,48.7205,,25.8492,23.2279,25.3935,23.8747,49.7326,,,19.6116,30.7409,25.8070,,,33.5162,141.4868,,24.2384,29.8715,21.7503,94.8432,30.6001,67.1855,,,37.5905,45.0925,,46.1880,,,20.3810,21.8218,225.8779,36.1109,,36.9865,,,21.0042,,,,61.5900,36.3741,,,,66.6667,,,,30.9839,,,28.6356,38.1980,,301.4548,44.5363
323b579004,29.4746,,48.2889,,,28.1480,22.2884,,,33.2242,45.3163,,,,,34.2174,,,,,,31.1942,,,,,,25.4951,108.9276,28.6244,35.7211,,,,,,,28.7021,,18.0907,,26.0916,,,25.7391,49.7594,46.8221,32.9421,,,,20.7020,,,,,23.6234,22.0907,,51.0218,38.0562,114.7777,,,36.4133,,76.6542,,,,,,136.6163,36.5941,67.8847,30.4898,29.5367,,26.8185,,,37.5984,36.2604,,,59.2582,,,40.0999,53.0283,,45.9468,,,,,53.1213,26.8328,36.9169,,39.7995,,,,313.1626,48.9175
32d56c49ee,28.3196,,30.6672,,,36.8139,36.3766,,,33.5123,31.0425,,,,,36.4104,,,,,,27.5162,,,,,,51.4920,23.2249,30.8573,42.0416,,,,,,,30.8221,,45.6356,,23.2916,,,26.6557,58.4673,41.8045,,,,,10.6256,,,,,24.8911,23.4521,,31.4504,28.8675,367.9015,,,25.9119,,106.1236,,,,,,75.5762,36.7781,79.8140,41.2614,28.0079,,22.5677,,,46.3980,38.6983,,,58.1132,,,53.3727,51.8046,,67.2439,,,,,34.3891,34.3854,30.7571,,40.0000,,,,283.9104,52.9594
337420936c,37.5585,,31.4294,,,19.5061,12.4097,,,47.3814,18.9859,,,,,34.2315,,,,,,22.8583,,,,,,27.5162,122.2191,24.8175,52.6948,,,,,,,42.0678,,65.7702,,25.5930,,,21.7798,42.7200,39.9404,36.5997,,,,10.8012,,,,,25.1360,21.6857,,56.6689,43.1601,86.9154,,,26.6327,,38.0490,,,,,,41.3320,36.1678,49.7214,27.1109,22.3131,,35.4516,,,41.0226,31.4340,,,43.5571,,,41.8491,77.3178,,55.5103,,,,,37.7060,44.1416,38.6771,,72.6896,,,,270.5226,45.4921
370e494d8b,,,32.0000,48.6973,26.3391,22.8910,,23.4521,46.1364,,30.3942,41.9921,,152.6434,45.8753,,11.8322,73.2989,45.4799,,25.2605,19.0029,16.0255,19.7814,,98.2627,,36.7946,193.8888,,33.1342,37.0435,22.5060,,22.3296,28.6684,21.5058,24.4949,24.4438,35.1781,33.9116,17.7281,14.6566,25.6905,25.9554,,45.3229,32.4286,36.7423,26.9357,23.1405,13.2288,,34.6410,,,24.9230,23.7595,,33.8728,30.0000,290.1724,31.8198,59.6750,21.6465,25.5898,,,,,,38.4353,93.4024,,49.8145,28.8675,,33.4034,19.7714,122.3837,53.1583,22.6505,22.6505,67.5431,48.0416,,,,40.7319,51.9972,61.2001,68.1576,,33.1662,94.2421,1183.2653,38.5307,,,,,,39.2641,,234.6371,63.5626
38bb31ac7e,23.8328,,29.6648,,27.0801,23.8298,34.0385,28.0394,35.6453,,,37.2678,32.7109,93.3302,74.9444,,29.7009,76.6109,29.1824,,30.6970,16.9177,27.2129,18.1871,39.6337,,24.4505,28.4605,235.5844,,24.3374,45.6618,37.7636,,15.7321,31.7707,16.9558,107.7638,25.6905,72.5039,32.8295,28.5243,17.5810,25.0555,22.2427,53.8516,,,65.4435,27.8733,14.9509,15.6670,39.0937,33.6425,,,27.6340,25.8407,27.6056,38.2608,31.0623,100.8960,22.8416,21.4154,24.5607,23.7847,110.8839,26.2769,,37.3497,,49.3785,111.3553,,42.3962,32.2169,24.6644,29.4392,27.7302,,60.8863,48.5994,26.1861,57.9591,,43.8613,,70.5084,59.2171,55.9061,52.5226,,,42.9221,96.5401,1499.0960,37.3274,,50.7748,,,34.7804,56.9561,59.9206,334.7559,65.1391
39e67e794e,,30.2264,,43.9367,32.9811,,,22.5294,43.3590,,,84.6920,32.9192,77.4257,45.6841,,27.1143,273.0221,55.3244,29.8848,35.2265,,15.3393,26.1472,33.0430,61.6285,26.1352,,,,,40.1782,30.4354,26.1406,28.4666,27.8134,27.4073,,24.4256,,28.4605,,18.3450,36.8041,,,,,28.8185,33.9424,28.3645,,67.4976,49.5087,,14.2929,,,23.4094,,,,28.0679,21.5570,,34.7720,,24.6841,56.3428,47.8496,28.4576,35.8495,,,,,,15.1998,,122.5922,61.3621,,,62.0340,58.3407,,75.2034,45.2375,,,49.5751,,46.1680,32.0992,44.6954,1095.1062,,,,23.2448,,34.0588,46.5027,44.8688,,61.0800
3c6098b4a1,,42.8174,31.2440,38.6005,,29.4392,,28.7518,34.0000,,,36.9362,20.5603,109.1199,98.8111,,29.0191,88.6436,37.1612,,30.6050,23.1189,19.7037,21.2132,30.7161,,23.1661,32.7165,165.5879,22.4377,29.6532,42.9389,47.9583,,28.8173,34.6834,25.4524,,24.2165,32.8507,43.0369,23.8747,21.3307,22.0671,15.8800,,,50.0345,,21.6954,20.0000,13.2288,63.3584,40.8463,,22.0269,24.2899,26.4181,19.6396,41.3023,25.4196,111.9874,30.4594,,24.9828,25.2727,56.6745,30.9839,49.5751,,,49.3288,99.0144,,86.2434,31.7805,23.2993,25.8915,30.0000,36.6348,51.6398,25.7519,35.2630,59.7016,30.9031,37.9850,61.7599,,39.4889,61.5394,55.0325,,,40.1782,73.2575,2223.6894,,,52.6519,19.0788,,,45.2309,76.5369,281.3338,71.7318
3d341de01f,,,,,,58.8986,64.0857,,55.5492,,36.1814,68.5703,27.5882,47.0618,,42.1900,,77.0395,55.6776,65.7195,,47.4619,,27.8152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5694,,,,,,142.2490,,,,98.2250,,,,,,,,,,,,,59.8062,,22.9331,,,,,,,63.8679
3de29d2b0c,,,43.3333,,,,,,,,,,,,,,,,,,,,,,,131.1928,34.9149,,,,29.2499,33.0824,,,,18.6445,21.1148,,,,46.4220,32.6439,16.4570,,,,,,,42.1966,,,,,,,44.3075,48.7280,20.0000,45.3114,,,130.0350,,34.1565,22.0907,,,,,,,47.1593,,,,,,,,67.0554,,,,,,34.0955,,,,,,,,,,,,,,,,,,,44.8663
40c97e52dc,40.6202,30.9377,22.7021,39.4968,31.3392,27.5928,28.5874,25.3398,33.0210,30.4512,23.8366,40.3295,24.0725,123.1118,39.0080,29.9122,28.8018,67.7987,41.1377,39.4277,31.0772,19.6176,14.8805,19.5982,52.5738,254.3166,31.4907,24.0710,136.6309,21.2916,33.4798,38.3271,23.3046,18.7083,24.3943,35.5993,20.3101,33.7332,19.9509,38.6123,33.6403,22.3098,16.5076,22.9907,20.7931,41.1759,41.1733,55.7237,40.6388,27.0161,19.7037,14.8980,50.2402,36.9488,26.7706,17.3205,27.9567,24.5273,24.9571,93.0674,33.1260,231.8653,22.4846,42.9950,26.4575,25.4165,66.2108,30.5505,44.2396,43.8376,26.5184,37.2072,94.6848,,46.1880,36.1581,24.0471,21.3037,18.6126,143.3091,49.6991,29.2898,52.0328,56.1343,33.2866,30.4959,81.1524,85.1624,40.3613,41.2606,40.2492,54.8938,61.7498,41.1096,90.4586,1130.8741,52.8813,41.1207,55.1830,18.7867,27.6385,31.9647,44.4410,48.9412,225.1100,55.7437
41b75436d1,26.2543,,49.9600,,,36.0000,,26.3818,53.5130,,,,,,63.9633,26.4575,34.8395,138.7935,,12.5831,41.4856,65.4408,34.0168,,130.1223,100.3432,,62.3772,73.9369,,24.0992,,26.7989,22.8035,39.0759,31.0425,27.1163,,20.3961,21.0819,62.1216,30.2429,15.5212,,21.9089,,,52.2357,,40.0925,25.5650,10.4447,66.2032,,,,,44.6654,32.1926,,37.0172,686.9073,25.6125,,,21.1224,,,,,,,,,,29.7209,,49.9130,,63.5835,,,,43.3013,,35.5668,,,,,43.1498,,,126.4120,,,,,39.2046,,,,50.2625,,37.7492,57.5920
43c3c45683,,26.1781,,49.1442,28.8194,,,23.9681,40.1218,,,34.5722,36.7781,49.7265,83.9926,,32.0256,233.7282,32.6206,32.9905,42.9588,,17.4679,20.9891,36.0147,199.5444,28.0827,,,,,37.4570,45.5321,24.8718,20.8337,26.4575,24.1091,,28.0140,,35.7966,,15.0438,21.2824,,,,,60.2514,32.4848,15.7661,,66.5890,137.0342,,18.6011,,,26.0342,,,,34.9762,55.1621,,23.3839,,32.1131,51.8205,42.1223,25.0416,45.1777,,,,,,30.4439,,271.1671,68.1175,,,60.5655,41.8899,,122.0938,69.8928,,,46.1790,,26.8962,59.3928,123.0628,1048.1202,,,,28.7904,,27.3861,50.6623,53.7086,,68.7341
4625e19e52,,39.1752,,37.5995,31.4733,,,23.2737,48.0302,,,32.7569,42.1519,59.2412,38.6478,,34.5413,196.5915,33.9786,31.9281,43.6358,,17.5219,20.5382,34.7498,154.1228,28.6773,,,,,41.3261,28.7649,19.4541,16.9775,25.8418,19.5698,,15.6097,,26.7615,,20.0000,72.1688,,,,,68.9309,27.4187,19.2154,,91.7537,106.6406,221.3143,16.7411,,,22.8739,,,,28.7417,21.5501,,30.5753,,26.0298,52.0290,39.8609,41.0628,124.7110,,,,,,19.8298,,259.0778,47.9969,,,69.0959,30.5505,,66.6920,44.9171,,,43.9435,,42.1469,42.0772,53.7444,1609.8438,,,,24.5245,,26.0713,46.1880,51.7687,,76.2791
476dbdc2d4,,40.4520,,38.8403,23.9046,,,36.2027,33.9305,,,67.6344,29.1071,79.1924,82.7574,,40.6675,228.0664,29.8142,28.5299,35.9687,,20.3909,20.9008,26.8860,79.7364,31.6914,,,,,41.3656,26.2368,19.8806,22.4621,39.3383,19.4273,,19.6783,,34.8010,,14.3270,26.9531,,,,,72.2386,31.9951,16.4225,,54.7528,111.9445,33.2689,14.4914,,,29.9523,,,,22.1359,62.7554,,26.3695,,20.4939,49.0160,39.0080,27.2888,44.8609,,,,,,17.0970,,145.9628,49.8154,,,62.9058,50.3887,,131.8711,31.4024,,,44.6353,,57.1714,27.6457,50.9010,1670.4531,,,,35.1592,,40.6612,49.9354,50.0250,,72.3306
488dab2982,16.7332,,27.5299,,,35.3925,13.5401,,,31.6228,24.3975,,,,,46.9707,,,,,,16.7332,,,,,,20.2920,28.3945,21.4679,65.6640,,,,,,,32.7872,,31.0913,,28.4697,,,19.6396,38.0058,38.2575,52.2813,,,,12.1106,,,,,30.8957,24.1704,,64.1056,23.1254,85.2447,,,25.9119,,82.8654,,,,,,122.9724,37.7124,49.7214,41.8015,24.9347,,30.7318,,,58.7117,32.6599,,,34.7926,,,48.8621,44.4008,,86.3260,,,,,27.6887,25.4951,68.0074,,74.8331,,,,274.0641,45.9413
4c26379220,13.5225,,36.1068,,,24.0992,21.5322,,,21.7503,18.7083,,,,,45.0603,,,,,,22.1108,,,,,,26.7842,139.0380,33.5162,26.0177,,,,,,,39.0803,,40.7738,,29.7521,,,25.8915,47.9583,25.4634,40.0446,,,,15.2177,,,,,27.8388,33.1059,,67.1317,28.8469,107.3651,,,27.6457,,47.2703,,,,,,106.6732,45.5979,66.5520,27.4199,24.0832,,33.9643,,,50.4975,35.1019,,,26.2099,,,31.0913,117.4147,,74.2428,,,,,36.7204,28.8926,41.4090,,27.7128,,,,293.4212,47.6963
4c6bc3410e,27.7555,,,,,,,37.7402,62.8129,156.4872,,,,,,40.1248,,61.1840,,,,44.5814,,,,,,,87.1397,,148.6876,,13.8170,25.4000,,42.1449,,,,,,30.7123,,,21.5639,,,,,,,17.3205,50.5109,,,,,47.2456,,,70.7955,,129.8189,,,,,33.4392,,,,125.4769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7028
4d4c537e8c,,,36.7696,36.5417,,23.6878,,31.6980,27.8388,,,37.8394,,,48.2059,49.3771,34.1278,161.4223,50.7221,,24.4268,23.3452,20.5688,,59.7390,,,19.3410,132.7435,28.7228,29.0320,37.2339,22.1282,,27.9610,27.3290,26.4575,25.3722,16.8485,21.2867,42.6549,33.3485,13.7649,25.8538,21.8466,,43.9968,32.5320,,26.1406,26.5147,19.7419,63.4118,,,,32.7236,42.9787,18.9737,41.8590,26.8225,,18.0278,29.7818,30.6910,27.7489,,23.5850,,,,,96.9278,,240.0463,28.4800,,31.1736,,239.6159,46.7516,,40.4145,,35.0325,19.4936,,58.0322,,46.7460,,,,39.0896,86.0233,,37.4166,,50.2908,22.5990,,29.7769,45.1387,,265.0634,47.4907
4f4f8b6183,,35.1620,,39.2953,28.6356,,,28.1712,48.4907,,,29.8009,30.1348,37.9728,49.6655,,31.0348,83.0376,63.0530,44.9495,33.6792,,14.9775,20.5836,47.4769,192.1226,24.8911,,,,,44.1416,29.8408,19.3499,19.2472,35.8469,19.9192,,19.8956,,34.7393,,15.7708,26.1315,,,,,54.1672,20.2759,20.4939,,82.4621,40.2078,,16.8034,,,26.5100,,,,25.8407,22.1834,,35.1704,,27.8243,85.5191,46.0024,31.7630,56.2420,,,,,,22.6385,,70.9641,63.4210,,,77.2904,35.1866,,208.4277,34.4927,,,34.5033,,37.6070,47.4984,51.8411,712.4145,,,,17.4456,,29.8100,52.5882,49.3710,,54.7497
50da899b0a,,27.0620,,40.9878,38.2608,,,37.2419,55.0454,,,22.4179,57.2761,51.5128,67.6613,,30.3822,56.9553,35.2597,27.6486,39.8434,,28.6999,21.7781,50.3322,83.2087,22.7462,,,,,34.4147,27.8498,21.1058,26.5832,30.0427,14.6217,,26.4977,,39.4783,,14.0463,27.6715,,,,,78.9190,29.5200,29.8089,,141.3860,30.9377,,21.4761,,,27.4095,,,,29.2689,26.5543,,24.9444,,22.1432,66.1139,65.4654,30.1546,36.0975,,,,,,40.9938,,212.9666,53.4129,,,55.0757,36.3856,,89.3029,41.7133,,,43.0273,,21.6192,81.7939,100.8110,541.1683,,,,30.0370,,25.0777,47.5044,85.3961,,53.7186
5259f9c4a2,,,,,,,,,38.1846,,,47.5000,,,45.9515,,36.4133,,45.4423,,,,18.7824,18.6378,40.6761,,,23.3699,23.8416,36.1814,62.7163,,20.5334,,24.5500,37.8731,12.1395,32.7198,,,23.9317,26.7842,18.6677,,,,,,17.0783,21.5271,20.4782,12.1716,50.0000,52.8653,,,29.3939,29.4392,,40.7004,34.8010,,27.4469,103.1181,32.8387,,,,,,,,,,51.6236,,,19.1485,41.6333,,49.3457,,35.2265,,,,,,43.7451,81.3206,33.7980,47.3085,,,116.1357,353.5208,,,52.8824,23.5230,,,40.5762,49.3457,241.0441,48.7129
594f5b2622,43.2435,,32.5960,,,30.4665,12.3288,,,29.3684,31.9520,,,,,28.8345,,,,,,28.0179,,,,,,31.8030,25.0624,26.2467,33.6516,,,,,,,42.9432,,30.1008,,22.9674,,,22.7021,59.9775,40.7203,,,,,14.9443,,,,,24.5897,22.6530,,53.6190,51.2569,272.7534,,,34.0518,,84.7218,,,,,,71.3754,51.4125,47.8318,25.3271,22.9245,,44.4262,,,39.6412,33.8378,,,25.8695,,,55.4344,56.3187,,61.5912,,,,,28.4999,25.4000,71.0915,,40.1349,,,,271.4511,48.9335
595353669e,,31.6667,,32.5847,28.2322,,,46.2647,47.4634,,,39.5400,37.2356,49.7661,96.9665,,30.5924,211.1105,49.1275,26.6288,42.8060,,16.3299,18.0278,32.2933,247.8274,28.2843,,,,,153.0444,27.9881,24.5412,27.0539,28.3725,24.8328,,20.3306,,38.2160,,17.1638,27.0977,,,,,85.4818,27.1314,24.3193,,93.8810,45.9654,46.3681,12.6801,,,20.2073,,,,22.2159,25.9417,,26.7634,,31.7662,55.0291,49.0703,26.8652,44.6035,,,,,,18.8108,,256.5197,46.1047,,,87.8821,42.1166,,68.4523,40.5728,,,47.0134,,43.2750,46.4416,44.6164,1922.1355,,,,20.2699,,36.5148,39.5811,64.9655,,81.3926
5d0cdb8e6a,31.8198,,28.9562,,,42.1198,20.7666,,,32.0806,28.2232,,,,,39.2938,,,,,,21.4303,,,,,,20.1133,49.5434,37.8746,49.9629,,,,,,,35.4837,,26.5568,,21.9265,,,19.6261,58.5314,28.1577,35.9066,,,,20.0000,,,,,34.9489,26.8483,,62.6213,47.2703,325.2424,,,26.2613,,103.1069,,,,,,112.6018,44.9521,57.3730,34.4741,27.9161,,23.0707,,,40.2266,41.0139,,,28.3549,,,47.9583,181.5673,,54.7114,,,,,54.4576,35.1781,46.6211,,42.1426,,,,305.1733,55.7379
5e09950752,,,28.7914,38.7298,,34.2881,22.7021,31.1836,41.0654,,,29.1843,27.3861,61.2178,,,27.0801,76.7280,47.3654,,30.6866,23.5147,17.4005,23.4153,42.7327,55.8000,25.2088,30.2765,158.6735,38.4522,34.3411,28.1859,32.0092,21.4994,22.8035,37.9327,26.7706,,16.0078,27.5882,34.5629,,16.5050,27.9422,20.7020,,46.6190,,,25.9720,19.4936,15.8114,34.9603,123.7864,31.3202,,29.3548,24.0906,19.5402,34.3996,31.2358,,28.0942,27.9422,29.9073,23.8048,53.5978,29.7357,,,,57.3080,117.5558,,25.8457,37.4700,,30.7596,38.8470,64.8074,41.2667,26.5684,40.3944,54.6022,28.6832,36.4417,,49.5892,32.9690,58.1664,34.5447,55.0175,,58.5630,76.6159,1220.7293,50.6139,,46.7829,28.9316,,26.5361,43.2503,,255.9687,56.5904
5f55739172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1219,,,,,,,,,,,,,,,17.2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6676
5f68b98ba5,,,28.4445,51.1448,,,,,42.7005,,,51.5664,,,31.8198,38.1257,30.1511,59.8013,26.2467,,17.6777,64.2112,23.8048,21.5211,60.5392,,17.7951,30.8573,15.5839,,21.4679,,34.7681,,29.5907,26.1745,18.2093,,15.1801,,12.5357,28.8675,18.6721,27.6887,,,26.1116,,27.2416,20.0000,26.1652,16.1466,31.6946,72.1110,,25.7737,22.6635,22.8891,,71.4461,68.9966,41.3068,,,26.6288,36.6288,50.6116,25.6038,,,,,,,206.6978,,22.4577,15.7359,37.2492,,50.1848,,41.1096,59.6657,,20.3909,,,,158.3903,42.3307,,,42.1449,95.0232,1124.7111,25.9370,,,32.6991,,,42.5441,,263.6199,61.2796
614b26c387,,34.3854,,,,,,28.6893,35.0397,,24.4097,63.8891,25.7121,,37.8211,,28.0692,70.5642,,,31.7156,18.9128,19.1150,,,72.6798,24.3374,23.2266,117.3720,,23.9658,35.2767,26.4919,,24.9561,24.9241,38.3592,,18.0278,23.2632,30.3315,,18.8414,,,,27.4469,47.1699,39.7995,18.9297,20.0000,20.6512,79.8640,183.1211,,,,17.2271,,42.1977,35.0397,81.9613,30.4138,19.1485,29.7909,24.5459,44.9382,47.4342,,,,,93.5657,,42.1900,,,25.2982,20.9554,67.8568,42.6503,29.0593,29.0517,73.2575,,55.6776,,33.5942,54.0202,44.7214,55.8814,55.4256,,36.4005,32.5222,1954.9936,,,31.2461,27.7923,,,57.6318,,30.4863,70.0657
63f3e762b2,,,,,,,,29.5200,,,,60.3692,,,,,36.3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0839
655ef447ca,,30.7989,,42.0784,29.5057,,,35.3553,38.0966,,,51.2177,31.2881,68.7127,58.0230,,28.8675,58.4998,34.8516,29.6099,33.7549,,15.8114,22.1834,49.8716,54.7723,27.5839,,,,,27.1038,31.1784,23.0772,22.3607,57.2542,19.3218,,28.7228,,33.2644,,19.4145,16.9148,,,,,52.2668,27.3861,20.9762,,102.7073,143.3857,26.1116,13.7113,,,25.8896,,,,17.9815,23.3333,,31.4718,,29.6332,60.6469,46.9042,33.7832,48.3800,,,,,,16.6015,,101.7584,46.9588,,,82.8922,48.7995,,115.8933,67.0629,,,38.4212,,45.7070,35.3726,88.1129,1655.3562,,,,20.1525,,26.0768,88.0341,52.7208,,69.7375
67182e2755,,36.0975,,40.7781,32.9140,,,27.2888,37.6829,,,72.9971,44.4651,58.1255,90.2448,,30.9673,157.4569,39.3700,29.6883,42.6102,,23.8630,18.0278,24.1523,80.0160,30.7852,,,,,40.1337,32.2717,27.9881,22.1565,37.6116,16.7332,,20.6799,,35.8081,,17.6963,22.3607,,,,,71.5891,23.0159,19.0201,,63.2263,121.4254,28.3284,17.0880,,,23.7410,,,,25.8199,28.4235,,23.6931,,24.8022,46.6792,47.2200,40.1110,48.2249,,,,,,57.9614,,217.5353,43.3714,,,48.7451,36.3012,,95.8049,31.0018,,,45.7698,,37.3480,23.4273,53.7953,322.3051,,,,29.2458,,37.3855,43.8178,63.2456,,49.6793
